Names,Ratings,Reviews,Basic Info,Services,Basic Info2,Description
TCS,3.9,51.2kReviews),"Public, Mumbai,Maharashtra + 280 more, 54 years old, 1 Lakh+ Employees (India)","BPO, IT Services & Consulting, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 51.2k, Salaries 647.2k, Interviews 4k, Jobs 76","We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients, comprehensive industry expertise and a global network of innovation and delivery centers.We function as a full stakeholder to business, offering a consulting-led approach with an integrated portfolio of technology led solutions that encompass the entire Enterprise value chain. Our Customer-centric Engagement Model defines how we do engage with you, offering specialized services and solutions that meet the distinct needs of your business.We build bespoke teams around your domain and technology requirements drawn from our talent pool of over 488,649 global professionals including 36.5% women from 154 nationalities. Our domain expertise has been built upon decades of experience working across industries and this knowledge underpins our suite of solutions.Our organization structure is domain led and empowered to help provide Customers a single window to industry specific solutions. Agile industry units have embedded capabilities to enable rapid responses that provide a competitive edge to our Customers. This is coupled with a unique Global Network Delivery Model™ (GNDM™), spanning 40 global locations, that is today recognized as the benchmark of excellence in technology deployment.We have made significant investments in Digital platforms and products spanning Technology Products, Horizontal Platforms and Products, Vertical Platforms and Products."
Accenture,4.1,33.1kReviews),"Public, Dublin + 144 more, 33 years old, 1 Lakh+ Employees (India)","IT Services & Consulting, Software Product, Forbes Global 2000, Public","About, Reviews 33.1k, Salaries 447.2k, Interviews 2.8k, Jobs 9.1k","Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com."
Cognizant,3.9,30.4kReviews),"Private, Teaneck. New Jersey. + 102 more, 28 years old, 1 Lakh+ Employees (India)","IT Services & Consulting, Forbes Global 2000","About, Reviews 30.4k, Salaries 439.2k, Interviews 2.5k, Jobs 367","At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world."
ICICI Bank,4.0,35.5kReviews),"Public, Mumbai,Maharashtra + 1052 more, 28 years old, 1 Lakh+ Employees (India)","Financial Services, Banking, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 35.5k, Salaries 158.4k, Interviews 1.3k, Jobs 191","ICICI Bank is a leading private sector bank in India. The Bank’s consolidated total assets stood at Rs. 14.76 trillion at September 30, 2020.  ICICI Bank currently has a network of 5,288 branches and 13,875 ATMs across India."
HDFC Bank,4.0,40.8kReviews),"Public, Mumbai,Maharashtra + 1233 more, 28 years old, 1 Lakh+ Employees (India)","Financial Services, Banking, Insurance, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 40.8k, Salaries 153.3k, Interviews 1k, Jobs 170","The Housing Development Finance Corporation Limited or HDFC was among the first financial institutions in India to receive an “in principle” approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. This was done as part of RBI’s policy for the liberalization of the Indian banking industry in 1994.HDFC Bank was incorporated in August 1994 in the name of HDFC Bank Limited, with its registered office in Mumbai, India. The bank commenced operations as a Scheduled Commercial Bank in January 1995. As of March 31, 2021, the Bank had a nationwide distribution network of 5,608 branches and 16,087 ATMs in 2,902 cities/towns."
Wipro,3.9,29.4kReviews),"Public, Bangalore/Bengaluru,Karnataka + 232 more, 77 years old, 1 Lakh+ Employees (India)","IT Services & Consulting, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Bangalore/Bengaluru,Karnataka","About, Reviews 29.4k, Salaries 334.7k, Interviews 2.5k, Jobs 501","Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting, and business process services company.We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics, and emerging technologies to help our clients adapt to the digital world and make them successful.A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability, and good corporate citizenship, we have over 243,000 dedicated employees serving clients across six continents.Together, we discover ideas and connect the dots to build a better and bold new future."
Infosys,3.9,28.9kReviews),"Public, Bengaluru/Bangalore,Karnataka + 129 more, 41 years old, 1 Lakh+ Employees (India)","IT Services & Consulting, Forbes Global 2000, Fortune India 500, Public, Bengaluru/Bangalore,Karnataka","About, Reviews 28.9k, Salaries 400.4k, Interviews 3.7k, Jobs 1.1k","Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses, and communities. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, in more than 50 countries, as they navigate their digital transformation powered by the cloud. We enable them with an AI-powered core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace.Our purpose is to amplify human potential and create the next opportunity for people, businesses, and communities."
Capgemini,3.9,24.5kReviews),"Public, Paris + 80 more, 55 years old, 1 Lakh+ Employees (India)","Internet, Analytics & KPO, IT Services & Consulting, Software Product, Forbes Global 2000, Public","About, Reviews 24.5k, Salaries 306.7k, Interviews 1.7k, Jobs 787","Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 350,000 team members in more than 50 countries. With its strong 55 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2021 global revenues of €18 billion.Get the Future You Want |  www.capgemini.com/in-en"
Tech Mahindra,3.7,22.3kReviews),"Public, Pune,Maharashtra + 219 more, 36 years old, 50k-1 Lakh Employees (India)","Consulting, Analytics & KPO, IT Services & Consulting, Forbes Global 2000, Fortune India 500, Public, Pune,Maharashtra","About, Reviews 22.3k, Salaries 203.2k, Interviews 1.6k, Jobs 1.2k","Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates, and society to rise. We are a USD 5.1 billion organization with 141,100+ professionals across 90 countries helping 1123 global customers, including Fortune 500 companies. We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally. Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the ‘2021 Global 100 Most sustainable corporations in the World’ by Corporate Knights. With the NXT.NOW™ framework, Tech Mahindra aims to enhance ‘Human Centric Experience’ for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. Tech Mahindra aims at delivering tomorrow’s experiences today and believes that the ‘Future is Now.We are part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies with 260,000 employees in over 100 countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world’s largest tractor company by volume. It has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate. The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to rise."
Genpact,4.0,20kReviews),"Public, New York,New York + 68 more, 25 years old, 50k-1 Lakh Employees (India)","IT Services & Consulting, Public","About, Reviews 20k, Salaries 141k, Interviews 1.3k, Jobs 238","Change is constant. At Genpact, we’re the ones driving it. We think with design, dream in digital, and solve problems with data and analytics. We obsess over operations and focus on the details – all 78,000+ of us. And you could be one of us!We are a global professional services firm that makes business transformation real. We drive digital-led innovation and digitally-enabled intelligent operations for our clients, guided by our experience running thousands of processes for hundreds of Global Fortune 500 companies.From New York to New Delhi and more than 20 countries in between, Genpact has the end-to-end expertise to connect every dot, reimagine every process, and reinvent companies’ ways of working. And it offers you an unparalleled opportunity to grow and transform your career."
